,10001_indexed,10002_indexed,10004_indexed,10005_indexed,10006_indexed,10007_indexed,10009_indexed,10014_indexed,10018_indexed,10021_indexed,10023_indexed,10033_indexed,10034_indexed,10038_indexed,10065_indexed,10069_indexed,10075_indexed,10128_indexed,10280_indexed
2/1/10,151.2518409,125.8953168,126.5750286,114.608076,108.4810127,129.2485549,113.4177215,109.6192385,147.7591036,107.8366446,102.3715415,,,147.804878,111.2059765,107.7669903,108.512931,117.6304654,120.0842697
3/1/10,152.2827688,126.3085399,124.513173,115.6769596,108.2278481,130.1734104,114.556962,110.8216433,149.0196078,108.9403974,103.9525692,,,147.3170732,111.6328709,108.4466019,109.2672414,118.899859,118.8202247
4/1/10,153.6082474,127.2727273,122.5658648,115.2019002,108.7341772,131.2138728,115.5696203,111.0220441,151.2605042,110.0441501,104.6442688,100,100,147.3170732,112.379936,108.8349515,109.9137931,119.887165,118.6797753
5/1/10,155.5228277,127.9614325,121.7640321,115.0831354,109.1139241,131.3294798,116.835443,111.6232465,154.0616246,110.816777,105.8300395,100,97.97979798,147.6422764,113.660619,109.6116505,110.5603448,120.5923836,118.8202247
6/1/10,157.437408,128.3746556,121.4203895,115.5581948,108.4810127,130.867052,117.5949367,112.2244489,156.022409,111.3686534,107.1146245,98.92241379,94.94949495,148.1300813,114.6211313,110.5825243,110.6681034,121.2976023,118.9606742
7/1/10,158.910162,128.3746556,120.8476518,115.6769596,107.3417722,130.7514451,117.721519,112.1242485,156.442577,111.9205298,107.5098814,97.62931034,93.53535354,148.2926829,115.3681964,110.776699,110.237069,122.1438646,118.258427
8/1/10,159.4992636,128.5123967,120.2749141,115.6769596,106.5822785,130.5202312,117.9746835,111.7234469,155.7422969,112.3620309,107.7075099,96.12068966,92.52525253,148.2926829,116.0085379,110.1941748,109.8060345,122.9901269,117.4157303
9/1/10,159.646539,128.9256198,121.1912944,115.7957245,105.8227848,130.2890173,118.1012658,111.3226453,155.8823529,113.2450331,108.3003953,95.68965517,94.74747475,148.4552846,117.1824973,110.776699,109.6982759,123.5543018,118.1179775
10/1/10,159.3519882,129.0633609,122.9095074,115.4394299,105.3164557,130.1734104,117.721519,111.3226453,157.0028011,113.9072848,108.7944664,96.55172414,98.58585859,148.7804878,118.6766275,111.7475728,110.1293103,124.1184767,119.5224719
11/1/10,159.646539,129.338843,124.0549828,114.1330166,105.443038,130.6358382,117.4683544,111.3226453,158.5434174,114.01766,108.9920949,97.84482759,100.6060606,148.9430894,119.1035219,112.1359223,110.5603448,124.5416079,119.5224719
12/1/10,160.5301915,129.6143251,124.513173,113.5391924,106.0759494,131.5606936,117.8481013,112.3246493,159.5238095,113.9072848,109.9802372,97.19827586,97.17171717,149.1056911,119.2102455,112.5242718,110.8836207,124.5416079,118.3988764
1/1/11,160.9720177,129.2011019,124.1695304,114.3705463,106.835443,132.4855491,118.2278481,113.7274549,159.9439776,114.2384106,111.2648221,95.47413793,94.54545455,148.9430894,120.0640342,113.6893204,111.5301724,123.977433,118.258427
2/1/11,160.5301915,128.9256198,123.4822451,114.9643705,107.3417722,133.1791908,118.3544304,114.5290581,159.6638655,115.0110375,111.6600791,95.90517241,93.53535354,149.1056911,121.2379936,114.8543689,112.2844828,123.8363893,118.8202247
3/1/11,160.0883652,129.0633609,123.5967927,115.0831354,107.3417722,133.9884393,118.7341772,115.0300601,158.8235294,115.8940397,111.1660079,97.19827586,93.33333333,149.4308943,121.7716115,115.9223301,113.0387931,124.2595205,118.6797753
4/1/11,160.0883652,128.7878788,123.3676976,116.0332542,107.3417722,135.0289017,119.1139241,115.8316633,157.4229692,116.4459161,110.8695652,96.76724138,92.32323232,149.4308943,121.8783351,116.407767,113.4698276,124.5416079,117.1348315
5/1/11,160.6774669,128.5123967,122.1076747,116.9833729,106.9620253,136.7630058,118.9873418,116.3326653,157.1428571,116.6666667,110.6719368,95.04310345,89.8989899,148.2926829,121.4514408,116.7961165,113.4698276,124.6826516,115.8707865
6/1/11,160.9720177,128.5123967,121.0767468,117.2209026,107.4683544,138.4971098,118.7341772,116.7334669,158.5434174,117.4392936,110.5731225,94.39655172,87.87878788,147.804878,121.7716115,117.5728155,113.4698276,125.1057828,115.4494382
7/1/11,161.4138439,128.9256198,120.3894616,117.695962,109.3670886,139.8843931,119.2405063,117.7354709,159.6638655,118.3222958,110.4743083,94.61206897,87.07070707,148.4552846,122.8388474,118.3495146,113.7931034,125.3878702,115.1685393
8/1/11,162.5920471,129.2011019,119.5876289,117.695962,111.5189873,141.9653179,120.3797468,118.7374749,160.6442577,117.99117,110.0790514,94.61206897,86.66666667,149.2682927,124.226254,118.3495146,114.3318966,124.8236953,114.747191
9/1/11,164.359352,128.9256198,119.1294387,117.3396675,113.9240506,144.0462428,121.2658228,119.6392786,162.8851541,117.218543,110.0790514,94.18103448,86.86868687,149.4308943,125.2934899,117.961165,114.6551724,124.1184767,114.8876404
10/1/11,166.1266568,128.9256198,118.6712486,116.8646081,116.2025316,145.3179191,121.6455696,120.0400802,166.6666667,117.1081678,110.4743083,93.31896552,87.47474747,149.7560976,125.9338314,117.6699029,114.9784483,123.6953456,115.4494382
11/1/11,167.4521355,129.476584,117.9839633,116.2707838,117.2151899,145.3179191,121.6455696,120.240481,169.4677871,117.1081678,110.5731225,93.10344828,88.08080808,149.9186992,126.1472785,117.4757282,115.1939655,123.2722144,116.011236
12/1/11,168.4830633,129.476584,117.067583,115.7957245,117.721519,144.6242775,121.8987342,120.9418838,170.3081232,117.1081678,110.8695652,92.67241379,87.67676768,149.1056911,125.8271078,117.4757282,115.0862069,122.425952,116.011236
1/1/12,169.0721649,129.8898072,116.838488,116.2707838,118.6075949,144.7398844,122.7848101,122.3446894,171.8487395,116.6666667,111.8577075,92.02586207,86.26262626,148.4552846,125.4002134,118.0582524,115.1939655,121.7207334,116.1516854
2/1/12,169.2194404,130.8539945,118.0985109,116.6270784,119.4936709,145.8959538,123.0379747,123.0460922,175.4901961,116.3355408,113.2411067,91.37931034,85.05050505,148.6178862,125.506937,118.6407767,115.8405172,121.2976023,116.7134831
3/1/12,169.5139912,132.0936639,119.7021764,116.5083135,120.5063291,147.1676301,123.4177215,122.9458918,178.8515406,116.5562914,114.229249,90.94827586,84.04040404,149.4308943,126.4674493,118.9320388,116.5948276,121.5796897,117.8370787
4/1/12,170.6921944,133.3333333,120.5040092,116.6270784,121.5189873,147.7456647,124.1772152,123.0460922,181.372549,117.5496689,114.8221344,91.1637931,82.42424242,151.0569106,128.0683031,119.0291262,117.1336207,122.2849083,118.9606742
5/1/12,171.8703976,134.5730028,120.8476518,117.1021378,122.1518987,147.8612717,124.1772152,123.246493,183.0532213,118.5430464,115.0197628,92.02586207,81.41414141,152.5203252,129.6691569,118.9320388,117.887931,122.7080395,120.0842697
6/1/12,173.1958763,135.399449,120.9621993,117.695962,122.7848101,147.8612717,123.9240506,123.747495,183.3333333,119.205298,115.2173913,92.45689655,82.42424242,153.495935,130.3094984,119.1262136,118.5344828,122.7080395,121.0674157
7/1/12,174.8159057,136.2258953,121.0767468,117.9334917,123.4177215,148.4393064,124.1772152,124.749499,182.0728291,119.4260486,115.2173913,92.24137931,83.83838384,153.9837398,130.5229456,120.2912621,119.3965517,122.8490832,121.7696629
8/1/12,176.2886598,137.6033058,121.4203895,118.5273159,124.1772152,149.2485549,124.6835443,126.0521042,181.372549,119.5364238,115.1185771,92.02586207,83.83838384,154.9593496,130.2027748,121.4563107,120.4741379,122.9901269,122.3314607
9/1/12,177.1723122,139.1184573,122.1076747,119.3586698,124.6835443,149.7109827,125.5696203,126.6533066,179.5518207,119.5364238,114.7233202,91.59482759,83.23232323,156.2601626,129.0288154,121.6504854,121.5517241,123.4132581,122.8932584
10/1/12,178.0559647,140.6336088,122.6804124,120.0712589,125.5696203,150.1734104,126.5822785,126.6533066,177.5910364,119.5364238,114.3280632,90.73275862,82.62626263,156.9105691,127.321238,121.7475728,122.0905172,124.1184767,123.5955056
11/1/12,178.9396171,141.184573,123.3676976,120.6650831,127.0886076,150.867052,126.835443,127.0541082,178.4313725,120.0883002,114.0316206,89.87068966,82.62626263,157.7235772,126.5741729,122.3300971,122.5215517,124.6826516,124.7191011
12/1/12,180.5596465,141.046832,123.9404353,122.0902613,129.6202532,152.3699422,127.3417722,129.3587174,181.7927171,121.0816777,115.3162055,89.43965517,82.42424242,158.2113821,126.5741729,123.6893204,122.6293103,125.528914,126.4044944
1/1/13,182.6215022,141.322314,124.6277205,123.2779097,131.7721519,154.6820809,128.6075949,132.0641283,184.7338936,122.1854305,117.2924901,89.43965517,82.62626263,158.3739837,127.7481323,125.3398058,121.6594828,126.6572638,127.9494382
2/1/13,185.4197349,141.4600551,125.5441008,123.2779097,132.6582278,156.7630058,129.6202532,133.6673347,187.535014,123.1788079,118.7747036,90.51724138,84.44444444,158.8617886,129.8826041,126.6019417,119.7198276,127.9266573,129.0730337
3/1/13,189.10162,140.4958678,127.1477663,123.04038,132.5316456,158.150289,129.4936709,135.7715431,189.7759104,123.9514349,119.6640316,92.02586207,88.08080808,159.8373984,131.9103522,127.3786408,118.6422414,129.1960508,130.3370787
4/1/13,192.4889543,139.6694215,129.5532646,122.9216152,132.1518987,160,129.3670886,139.1783567,191.3165266,124.6136865,120.7509881,93.75,90.90909091,161.6260163,133.0843116,128.6407767,119.8275862,130.1833568,131.741573
5/1/13,194.55081,139.8071625,131.6151203,122.6840855,131.8987342,161.849711,130,142.4849699,192.2969188,125.1655629,121.7391304,94.82758621,93.33333333,163.2520325,134.3649947,130.1941748,122.4137931,130.8885755,133.005618
6/1/13,196.7599411,140.9090909,132.8751432,122.4465558,132.0253165,163.583815,131.1392405,145.1903808,195.2380952,125.7174393,122.826087,95.47413793,94.54545455,164.5528455,136.1792956,131.7475728,125.862069,131.5937941,133.5674157
7/1/13,199.1163476,142.0110193,133.5624284,122.5653207,132.6582278,165.8959538,132.1518987,148.0961924,197.7591036,126.2693157,124.3083004,95.90517241,95.15151515,166.0162602,138.5272145,133.7864078,129.0948276,132.8631876,133.988764
8/1/13,201.7673049,143.5261708,134.8224513,122.6840855,133.164557,168.3236994,133.4177215,150.8016032,197.8991597,127.1523179,126.6798419,96.76724138,94.94949495,167.804878,140.6616862,136.5048544,131.8965517,135.1198872,134.5505618
9/1/13,205.0073638,145.5922865,136.9988545,123.1591449,133.9240506,170.4046243,135.3164557,153.6072144,198.8795518,128.9183223,129.1501976,97.19827586,95.55555556,170.0813008,143.1163287,139.0291262,135.0215517,137.6586742,135.3932584
10/1/13,208.2474227,147.6584022,139.4043528,123.871734,135.0632911,172.8323699,136.7088608,156.3126253,200.4201681,131.0154525,131.3241107,98.06034483,97.37373737,172.8455285,146.2113127,140.5825243,138.2543103,139.9153738,135.6741573
11/1/13,211.4874816,148.7603306,141.3516609,124.3467933,136.5822785,176.1849711,137.5949367,158.3166333,200.280112,132.1192053,133.201581,99.56896552,101.010101,174.6341463,150.1600854,141.1650485,140.625,142.0310296,135.3932584
12/1/13,215.7584683,149.7245179,142.7262314,125.2969121,138.4810127,179.0751445,138.8607595,160.3206413,201.2605042,133.0022075,135.0790514,100.862069,102.8282828,176.097561,153.4685165,142.2330097,141.7025862,143.7235543,135.6741573
1/1/14,220.9131075,150.5509642,143.7571592,126.7220903,141.1392405,181.0404624,140.5063291,163.0260521,202.9411765,134.6578366,136.5612648,100.862069,102.4242424,177.5609756,155.6029883,143.3980583,142.4568966,144.9929478,136.7977528
2/1/14,224.1531664,150.5509642,144.6735395,127.9097387,142.7848101,182.4277457,140.6329114,164.6292585,202.6610644,135.8719647,136.7588933,100.4310345,102.6262626,179.0243902,156.9903949,144.0776699,142.887931,146.2623413,137.9213483
3/1/14,225.4786451,150.6887052,145.5899198,128.5035629,142.7848101,183.8150289,139.6202532,164.7294589,202.6610644,136.3134658,136.1660079,100.6465517,103.2323232,180.6504065,157.8441836,144.5631068,143.2112069,146.6854725,138.6235955
4/1/14,226.8041237,152.0661157,147.1935853,129.5724466,143.5443038,185.7803468,139.2405063,164.9298597,205.1820728,137.3068433,136.3636364,101.9396552,105.0505051,182.7642276,159.018143,145.9223301,143.3189655,147.1086037,139.6067416
5/1/14,227.982327,153.1680441,148.9117984,131.2351544,145.0632911,187.9768786,140,165.6312625,208.6834734,138.6313466,137.5494071,102.8017241,107.0707071,184.5528455,160.298826,147.6699029,143.2112069,147.8138223,141.011236
6/1/14,227.8350515,153.9944904,151.2027491,132.7790974,145.8227848,189.3641618,141.5189873,166.7334669,212.0448179,139.2935982,138.9328063,103.2327586,108.2828283,185.8536585,160.9391676,149.1262136,142.887931,148.3779972,142.2752809
7/1/14,226.8041237,155.6473829,153.3791523,133.3729216,145.3164557,189.017341,142.6582278,167.1342685,213.7254902,138.7417219,139.8221344,104.7413793,107.4747475,186.0162602,159.8719317,149.4174757,140.4094828,147.954866,142.6966292
8/1/14,225.9204713,156.8870523,153.95189,133.3729216,145.3164557,188.0924855,143.0379747,166.7334669,212.605042,137.8587196,139.8221344,105.387931,105.6565657,185.5284553,157.8441836,149.1262136,136.637931,146.403385,142.4157303
